rule_id,area,rule,current_toolnexus_source,implication_for_datalens_backlog,non_negotiable
TN-001,Slug governance,"Tool slug must be unique, lowercase, stable, and URL-safe.",/mnt/c/docker/ToolNexus/src/ToolNexus.Application/Services/ToolBlueprintValidator.cs; /mnt/c/docker/ToolNexus/src/ToolNexus.Web/Docs/adding-tools.md,Do not mirror raw marketplace titles. Normalize every backlog item into a canonical slug and map duplicates to the same slug.,yes
TN-002,Manifest minimum fields,"tools.manifest.json entries require slug, title, category, actions, seoTitle, seoDescription, and exampleInput.",/mnt/c/docker/ToolNexus/tools.manifest.json; /mnt/c/docker/ToolNexus/src/ToolNexus.ConsoleRunner/Validation/ToolValidationRunner.cs,Every DataLens family needs a ToolNexus-ready metadata record before UI or executor work starts.,yes
TN-003,Runtime assets,"A ToolShell page expects a tool manifest JSON, runtime JS module, and HTML template under the governed ToolNexus paths.",/mnt/c/docker/ToolNexus/src/ToolNexus.Web/App_Data/tool-manifests/qr-generator.json; /mnt/c/docker/ToolNexus/src/ToolNexus.Web/Docs/runtime-model.md,"For external APIs, create lightweight ToolShell assets that collect input, call the execution API, and render normalized results.",yes
TN-004,Executor contract,Each tool needs an IToolExecutor implementation with a Slug and SupportedActions aligned to the manifest.,/mnt/c/docker/ToolNexus/src/ToolNexus.Application/Abstractions/IToolExecutor.cs; /mnt/c/docker/ToolNexus/src/ToolNexus.Application/Services/ManifestExecutorAlignmentValidator.cs,Add a reusable DataLens proxy executor or generated executor per slug instead of wiring UI directly to external APIs.,yes
TN-005,Execute API request contract,"ToolNexus execute requests are sent as { input: <json>, options: { key: value } }.",/mnt/c/docker/ToolNexus/src/ToolNexus.Api/Models/Requests/ExecuteToolApiRequest.cs; /mnt/c/docker/ToolNexus/src/ToolNexus.Application/Models/ToolExecutionRequest.cs,Design DataLens endpoints so ToolNexus can pass the entire input object into the endpoint body with minimal reshaping.,yes
TN-006,Execute API response contract,"ToolNexus expects execution output as a string plus success, error, notFound, insight, and runtime identity metadata.",/mnt/c/docker/ToolNexus/src/ToolNexus.Api/Models/Responses/ToolExecutionApiResponse.cs; /mnt/c/docker/ToolNexus/src/ToolNexus.Application/DTOs/ToolResponseDto.cs,Wrap DataLens JSON responses as serialized output strings or add a dedicated ToolNexus adapter that extracts the normalized payload.,yes
TN-007,Execution policy defaults,"ToolNexus defaults to 15s timeout, 512KB payload, anonymous=false, concurrency=16, and validates blueprint policy fields.",/mnt/c/docker/ToolNexus/src/ToolNexus.Api/appsettings.json; /mnt/c/docker/ToolNexus/src/ToolNexus.Application/Options/ToolExecutionPolicyOptions.cs,Mark public low-risk tools anonymous only after review. Set stricter per-tool policy for heavy scrapers and large-input tools.,yes
TN-008,Blueprint hard limits,"Tool blueprint validation caps timeout at 120s, max requests per minute at 600, and max input size at 5,000,000 bytes.",/mnt/c/docker/ToolNexus/src/ToolNexus.Application/Services/ToolBlueprintValidator.cs,"Any DataLens contract that needs more than these values should be async or private, not a direct public ToolNexus tool.",yes
TN-009,Order of work,"Manifest and executor first, UI after shell contract passes.",/mnt/c/docker/ToolNexus/src/ToolNexus.Web/Docs/adding-tools.md,"For import work: finalize canonical slug, actions, contract, and policy before spending time on ToolShell polish.",yes
TN-010,Docs requirement,Public tool pages and example coverage are validated as part of ToolNexus governance.,/mnt/c/docker/ToolNexus/src/ToolNexus.ConsoleRunner/Validation/ToolValidationRunner.cs; /mnt/c/docker/ToolNexus/src/ToolNexus.Web/Docs/tool-pages/published,"Each family needs a docs page with plain-language examples, SEO copy, FAQs, and supported actions.",yes
TN-011,Recommended bridge pattern,Use ToolNexus executor as the public boundary and let that executor call DataLens APIs or internal workers.,/mnt/c/docker/ToolNexus/src/ToolNexus.Application/Services/Pipeline/ApiToolExecutionStrategy.cs,"Do not embed DataLens endpoint URLs directly in page JavaScript. Keep routing, retries, auth, and policy enforcement server-side.",yes
TN-012,Unsafe tool gating,Public catalog tools should avoid abuse-oriented capabilities even if technically possible.,Derived from ToolNexus policy model and public catalog governance expectations,"Traffic generators, fake engagement, and manipulative view tools should be rejected from public ToolNexus onboarding.",yes
